GO	evalue
GO:0002065	0.0
GO:0002066	0.0
GO:0002218	0.0
GO:0002220	0.0
GO:0002223	0.0
GO:0002253	0.0
GO:0002376	0.0
GO:0002429	0.0
GO:0002520	0.0
GO:0002521	0.0
GO:0002682	0.0
GO:0002684	0.0
GO:0002757	0.0
GO:0002758	0.0
GO:0002764	0.0
GO:0002768	0.0
GO:0002791	0.0
GO:0002793	0.0
GO:0003002	0.0
GO:0003684	0.0
GO:0003700	0.0
GO:0003712	0.0
GO:0003713	0.0
GO:0003723	0.0
GO:0003823	0.0
GO:0004402	0.0
GO:0004468	0.0
GO:0005667	0.0
GO:0005700	0.0
GO:0006283	0.0
GO:0006289	0.0
GO:0006352	0.0
GO:0006355	0.0
GO:0006357	0.0
GO:0006367	0.0
GO:0006417	0.0
GO:0006473	0.0
GO:0006474	0.0
GO:0006475	0.0
GO:0006479	0.0
GO:0006836	0.0
GO:0006977	0.0
GO:0006986	0.0
GO:0006990	0.0
GO:0007088	0.0
GO:0007093	0.0
GO:0007164	0.0
GO:0007219	0.0
GO:0007221	0.0
GO:0007224	0.0
GO:0007267	0.0
GO:0007268	0.0
GO:0007269	0.0
GO:0007281	0.0
GO:0007292	0.0
GO:0007389	0.0
GO:0007416	0.0
GO:0007423	0.0
GO:0007464	0.0
GO:0007507	0.0
GO:0007517	0.0
GO:0007519	0.0
GO:0007610	0.0
GO:0007622	0.0
GO:0007623	0.0
GO:0007626	0.0
GO:0008013	0.0
GO:0008022	0.0
GO:0008080	0.0
GO:0008134	0.0
GO:0008140	0.0
GO:0008213	0.0
GO:0008283	0.0
GO:0008347	0.0
GO:0008361	0.0
GO:0008589	0.0
GO:0008593	0.0
GO:0008630	0.0
GO:0009266	0.0
GO:0009314	0.0
GO:0009410	0.0
GO:0009411	0.0
GO:0009416	0.0
GO:0009607	0.0
GO:0009615	0.0
GO:0009628	0.0
GO:0009719	0.0
GO:0009725	0.0
GO:0009743	0.0
GO:0009746	0.0
GO:0009749	0.0
GO:0009790	0.0
GO:0009792	0.0
GO:0009887	0.0
GO:0009891	0.0
GO:0009952	0.0
GO:0010035	0.0
GO:0010038	0.0
GO:0010466	0.0
GO:0010484	0.0
GO:0010557	0.0
GO:0010559	0.0
GO:0010560	0.0
GO:0010608	0.0
GO:0010628	0.0
GO:0010629	0.0
GO:0010712	0.0
GO:0010714	0.0
GO:0010720	0.0
GO:0010742	0.0
GO:0010769	0.0
GO:0010770	0.0
GO:0010951	0.0
GO:0010975	0.0
GO:0010976	0.0
GO:0014706	0.0
GO:0014735	0.0
GO:0014737	0.0
GO:0014744	0.0
GO:0016055	0.0
GO:0016407	0.0
GO:0016410	0.0
GO:0016569	0.0
GO:0016570	0.0
GO:0016571	0.0
GO:0016573	0.0
GO:0016605	0.0
GO:0016746	0.0
GO:0016747	0.0
GO:0018022	0.0
GO:0018076	0.0
GO:0018193	0.0
GO:0018205	0.0
GO:0018393	0.0
GO:0018394	0.0
GO:0019216	0.0
GO:0019827	0.0
GO:0019900	0.0
GO:0019901	0.0
GO:0019904	0.0
GO:0022412	0.0
GO:0022603	0.0
GO:0022604	0.0
GO:0023061	0.0
GO:0030097	0.0
GO:0030098	0.0
GO:0030099	0.0
GO:0030178	0.0
GO:0030183	0.0
GO:0030219	0.0
GO:0030220	0.0
GO:0030307	0.0
GO:0030323	0.0
GO:0030324	0.0
GO:0030326	0.0
GO:0030330	0.0
GO:0030516	0.0
GO:0030707	0.0
GO:0030718	0.0
GO:0030855	0.0
GO:0030968	0.0
GO:0031056	0.0
GO:0031058	0.0
GO:0031248	0.0
GO:0031328	0.0
GO:0031333	0.0
GO:0031344	0.0
GO:0031346	0.0
GO:0031347	0.0
GO:0031349	0.0
GO:0031365	0.0
GO:0031490	0.0
GO:0031570	0.0
GO:0031571	0.0
GO:0031647	0.0
GO:0031648	0.0
GO:0031960	0.0
GO:0032092	0.0
GO:0032259	0.0
GO:0032269	0.0
GO:0032386	0.0
GO:0032388	0.0
GO:0032459	0.0
GO:0032460	0.0
GO:0032479	0.0
GO:0032480	0.0
GO:0032481	0.0
GO:0032535	0.0
GO:0032648	0.0
GO:0032688	0.0
GO:0032793	0.0
GO:0032880	0.0
GO:0032922	0.0
GO:0032940	0.0
GO:0032956	0.0
GO:0032965	0.0
GO:0032967	0.0
GO:0032970	0.0
GO:0032993	0.0
GO:0033044	0.0
GO:0033143	0.0
GO:0033157	0.0
GO:0033158	0.0
GO:0033160	0.0
GO:0033613	0.0
GO:0033993	0.0
GO:0034097	0.0
GO:0034212	0.0
GO:0034248	0.0
GO:0034250	0.0
GO:0034284	0.0
GO:0034620	0.0
GO:0034644	0.0
GO:0034708	0.0
GO:0034968	0.0
GO:0035065	0.0
GO:0035066	0.0
GO:0035097	0.0
GO:0035107	0.0
GO:0035108	0.0
GO:0035113	0.0
GO:0035257	0.0
GO:0035258	0.0
GO:0035259	0.0
GO:0035282	0.0
GO:0035295	0.0
GO:0035728	0.0
GO:0035729	0.0
GO:0035821	0.0
GO:0035855	0.0
GO:0035966	0.0
GO:0035967	0.0
GO:0036002	0.0
GO:0036293	0.0
GO:0036294	0.0
GO:0036344	0.0
GO:0040029	0.0
GO:0040040	0.0
GO:0042035	0.0
GO:0042036	0.0
GO:0042063	0.0
GO:0042067	0.0
GO:0042113	0.0
GO:0042306	0.0
GO:0042307	0.0
GO:0042706	0.0
GO:0042733	0.0
GO:0042770	0.0
GO:0042771	0.0
GO:0042975	0.0
GO:0043009	0.0
GO:0043066	0.0
GO:0043069	0.0
GO:0043154	0.0
GO:0043207	0.0
GO:0043388	0.0
GO:0043393	0.0
GO:0043414	0.0
GO:0043425	0.0
GO:0043426	0.0
GO:0043491	0.0
GO:0043502	0.0
GO:0043543	0.0
GO:0043618	0.0
GO:0043620	0.0
GO:0043627	0.0
GO:0043902	0.0
GO:0043903	0.0
GO:0043921	0.0
GO:0043923	0.0
GO:0043966	0.0
GO:0043967	0.0
GO:0043969	0.0
GO:0043971	0.0
GO:0043974	0.0
GO:0043982	0.0
GO:0043983	0.0
GO:0043993	0.0
GO:0044017	0.0
GO:0044057	0.0
GO:0044212	0.0
GO:0044403	0.0
GO:0044419	0.0
GO:0044773	0.0
GO:0044774	0.0
GO:0044783	0.0
GO:0044798	0.0
GO:0044819	0.0
GO:0045088	0.0
GO:0045089	0.0
GO:0045165	0.0
